#child_table		#child_column		#parent_table	#parent_column	#delete_op	#update_op

PROJECT			assembly_id		ASSEMBLY	assembly_id	RESTRICT	RESTRICT

C2CMAPPING		contig_id		CONTIG		contig_id	CASCADE		RESTRICT
C2CMAPPING		parent_id		CONTIG		contig_id	RESTRICT	RESTRICT
CONSENSUS		contig_id		CONTIG		contig_id	CASCADE		RESTRICT
CONTIGORDER		contig_id		CONTIG		contig_id	CASCADE		RESTRICT
CONTIGTRANSFERREQUEST	contig_id		CONTIG		contig_id	CASCADE		RESTRICT
MAPPING			contig_id		CONTIG		contig_id	CASCADE		RESTRICT
TAG2CONTIG		contig_id		CONTIG		contig_id	CASCADE		RESTRICT

TAG2CONTIG		tag_id			CONTIGTAG	tag_id		CASCADE		RESTRICT

CLONEVEC		cvector_id		CLONINGVECTOR	cvector_id	RESTRICT	RESTRICT

C2CSEGMENT		mapping_id		C2CMAPPING	mapping_id	CASCADE		RESTRICT

SCAFFOLD		import_id		IMPORTEXPORT	id		RESTRICT	RESTRICT

SEGMENT			mapping_id		MAPPING		mapping_id	CASCADE		RESTRICT

CONTIGTRANSFERREQUEST	old_project_id		PROJECT		project_id	RESTRICT	CASCADE	
CONTIGTRANSFERREQUEST	new_project_id		PROJECT		project_id	RESTRICT	CASCADE	
CONTIG			project_id		PROJECT		project_id	RESTRICT	RESTRICT

READCOMMENT		read_id			READINFO	read_id		CASCADE		RESTRICT
SEQ2READ		read_id			READINFO	read_id		CASCADE		RESTRICT
TRACEARCHIVE		read_id			READINFO	read_id		CASCADE		RESTRICT

CONTIGORDER		scaffold_id		SCAFFOLD	scaffold_id	CASCADE		RESTRICT

ALIGN2SCF		seq_id			SEQUENCE	seq_id		CASCADE		RESTRICT
CLONEVEC		seq_id			SEQUENCE	seq_id		CASCADE		RESTRICT
MAPPING			seq_id			SEQUENCE	seq_id		RESTRICT	RESTRICT
QUALITYCLIP		seq_id			SEQUENCE	seq_id		CASCADE		RESTRICT
READTAG			seq_id			SEQUENCE	seq_id		CASCADE		RESTRICT
SEQ2READ		seq_id			SEQUENCE	seq_id		CASCADE		RESTRICT
SEQVEC			seq_id			SEQUENCE	seq_id		CASCADE		RESTRICT

SEQVEC			svector_id		SEQUENCEVECTOR	svector_id	RESTRICT	RESTRICT

SCAFFOLD		type_id			SCAFFOLDTYPE	type_id		RESTRICT	RESTRICT
